POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,RATIO
Owner,0,0,2,BHK,1100.0,1,1,"Nagpur Road,Wardha",21.15389,79.08306,22.0,50.0
Owner,0,0,2,BHK,1100.0,1,1,"Kumarpur,Asansol",23.694909,86.939424,22.0,50.0
Owner,0,0,2,BHK,1100.0,1,1,"karla square,Wardha",20.788326,78.612245,22.0,50.0
Owner,0,0,2,BHK,1100.0,1,1,"Waghodia,Vadodara",22.294094,73.23368600000000,22.0,50.0
Dealer,0,1,3,BHK,1075.0,1,1,"Sikandra,Agra",27.216013,77.950834,21.5,50.0
Owner,0,1,3,BHK,1050.0,1,1,"Katara Hills,Bhopal",23.185756,77.498465,21.0,50.0
Dealer,0,0,2,BHK,1025.0,1,1,"Milakpur Goojar,Bhiwadi",28.194910000000000,76.826552,20.5,50.0
Dealer,1,0,2,BHK,1010.0,0,1,"Burnpur,Asansol",23.6667,86.9333,20.2,50.0
Dealer,0,0,3,BHK,1000.0,1,1,"Dadi Ka Phatak,Jaipur",26.968933000000000,75.755339,20.0,50.0
Dealer,1,0,2,BHK,1000.0,0,1,"Gajuwaka,Visakhapatnam",17.7,83.2167,20.0,50.0
Owner,0,0,2,BHK,1000.0,1,1,"Junwani,Bhilai",21.201983,81.374348,20.0,50.0
Owner,0,0,2,BHK,1000.0,1,1,"Bedla,Udaipur",24.6345,73.695,20.0,50.0
Owner,0,0,2,BHK,1000.0,1,1,"Kelkarwadi,Wardha",20.75,78.61667,20.0,50.0
Owner,0,0,2,BHK,1000.0,1,1,"Umargam,Valsad",20.278010000000000,72.84171000000000,20.0,50.0
Dealer,1,0,2,BHK,950.0,0,1,"Mohishila Colony,Asansol",23.65444,86.990713,19.0,50.0
Owner,0,0,2,BHK,950.0,1,1,"Manchwa,Jaipur",26.964285000000000,75.64521000000000,19.0,50.0
Dealer,1,0,2,BHK,935.0,0,1,"Saptarshi Park,Durgapur",28.648586000000000,77.302071,18.7,50.0
Dealer,1,1,2,BHK,910.0,0,1,"Pipaliyahana,Indore",22.709351,75.900743,18.2,50.0
Owner,0,0,2,BHK,900.0,1,1,"Kalol,Gandhinagar",23.2257,72.51679,18.0,50.0
Owner,0,0,2,BHK,900.0,1,1,"Varachha,Surat",21.218626,72.862113,18.0,50.0
Dealer,0,0,2,BHK,900.0,1,1,"Gulmohar Colony,Bhopal",23.185601000000000,77.43543300000000,18.0,50.0
Owner,0,0,2,BHK,900.0,1,1,"Kailash Nagar,Bhilai",29.966544,76.857417,18.0,50.0
Owner,0,0,2,BHK,900.0,1,1,"Shanti Nagar, Sullad Road,Hubli",15.453333000000000,75.00835,18.0,50.0
Owner,0,0,2,BHK,900.0,1,1,"Karunagappally,Kollam",9.05444,76.53528,18.0,50.0
Dealer,1,0,3,BHK,875.0,0,1,"Arrah,Durgapur",23.55,87.32,17.5,50.0
Dealer,0,0,2,BHK,850.0,1,1,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,17.0,50.0
Dealer,1,0,2,BHK,780.0,0,1,"New Barrakpur,Kolkata",22.680731,88.442807,15.6,50.0
Owner,0,0,2,BHK,760.0,1,1,"Kapil Vihar Chak Gatore Snagnaer,Jaipur",26.349343,84.42321900000000,15.2,50.0
Owner,0,0,3,BHK,750.0,1,1,"Jamalpur Colony,Ludhiana",30.90607,75.914713,15.0,50.0
Owner,0,0,2,BHK,750.0,1,1,"Gulmohar Colony,Bhopal",23.185601000000000,77.43543300000000,15.0,50.0
Owner,0,0,2,BHK,750.0,1,1,"Tapukara,Bhiwadi",28.2102,76.8606,15.0,50.0
Dealer,1,0,2,BHK,750.0,0,1,"Barasat,Kolkata",22.747639000000000,88.600902,15.0,50.0
Owner,0,0,1,BHK,750.0,1,1,"Desa Pathrunipalem,Visakhapatnam",17.638457,83.124941,15.0,50.0
Owner,0,1,1,BHK,750.0,1,1,"Abrama,Valsad",20.600601,72.953228,15.0,50.0
Dealer,0,1,2,BHK,680.0,1,1,"Sikandra,Agra",27.216013,77.950834,13.6,50.0
Owner,0,0,2,BHK,650.0,1,1,"Konnagar,Kolkata",22.7,88.35,13.0,50.0
Owner,0,0,1,BHK,650.0,1,1,"vasa vira society,Jamnagar",22.939410000000000,69.9889,13.0,50.0
Owner,0,0,2,BHK,600.0,1,1,"Arera Colony,Bhopal",23.21118,77.43291000000000,12.0,50.0
Owner,0,0,1,BHK,600.0,1,1,"Manjalpur,Vadodara",22.271214,73.188827,12.0,50.0
Owner,0,0,1,BHK,600.0,1,1,"Konnagar,Kolkata",22.7,88.35,12.0,50.0
Owner,0,0,1,BHK,600.0,1,1,"Datta Wadi,Nagpur",19.975765,79.284836,12.0,50.0
Owner,0,0,1,BHK,600.0,1,1,"Golani Market,Jalgaon",21.014143,75.564773,12.0,50.0
Owner,0,0,1,BHK,550.0,1,1,"Kanadia Road,Indore",22.72781,75.963175,11.0,50.0
Owner,0,0,1,BHK,550.0,1,1,"Kanadia Road,Indore",22.72781,75.963175,11.0,50.0
Owner,0,0,1,BHK,550.0,1,1,"Oras,Sindhudurg",16.119136000000000,73.724075,11.0,50.0
Owner,0,0,1,BHK,500.0,1,1,"Vatika Road,Jaipur",26.900115000000000,75.77761,10.0,50.0
Dealer,0,0,1,BHK,435.0,1,1,"Sundarpada,Bhubaneswar",20.230195000000000,85.816005,8.7,50.0
Owner,0,0,1,BHK,400.0,1,1,"NH-8,Neemrana",12.973237,77.64685900000000,8.0,50.0
Owner,0,0,1,BHK,774.2257742,1,1,"Panchavati,Jamnagar",23.118635,70.022051,15.5,49.9500499483871
Owner,0,0,2,BHK,1097.8043910000000,1,1,"Zirakpur,Chandigarh",30.662283000000000,76.822397,22.0,49.9001995909091
Dealer,0,0,3,BHK,1995.0124690000000,1,1,"Mansarovar Extension,Jaipur",26.8626,75.7633,40.0,49.875311725
Dealer,0,0,3,BHK,1495.51346,1,1,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,30.0,49.8504486666667
Owner,0,0,2,BHK,797.6071785,1,1,"Basaveshwar Park,Hubli",15.375415,75.129696,16.0,49.85044865625
Owner,1,0,2,BHK,1045.296167,0,1,"Gajuwaka,Visakhapatnam",17.7,83.2167,21.0,49.776007952381
Dealer,0,0,2,BHK,1090.094574,1,1,"Jagatpura,Jaipur",26.832353,75.841749,21.9,49.7760079452055
Owner,0,0,3,BHK,1939.3336650000000,1,1,"AB Bypass Road,Indore",58.69175268,-117.00169940000000,39.0,49.7265042307692
Dealer,0,0,2,BHK,799.8012916,1,1,"Dadi Ka Phatak,Jaipur",26.968933000000000,75.755339,16.1,49.6770988571429
Dealer,1,0,3,BHK,1390.268123,0,1,"Sri Nagar,Visakhapatnam",17.677858000000000,83.189346,28.0,49.6524329642857
Dealer,0,0,3,BHK,1847.0705060000000,1,1,"Kharar,Mohali",30.74,76.65,37.2,49.6524329569892
Owner,0,0,1,BHK,620.0396825,1,1,"Palghar,Palghar",19.696531,72.767746,12.5,49.6031746
Owner,0,0,1,BHK,431.54761900000000,1,1,"Dindoli,Surat",21.142359,72.862596,8.7,49.6031745977011
Owner,0,0,2,BHK,1487.357462,1,1,"Mansarovar Extension,Jaipur",26.8626,75.7633,30.0,49.5785820666667
Owner,0,0,2,BHK,2231.036192,1,1,"Near srk next Generation school,Nellore",14.433330000000000,79.96667,45.0,49.5785820444444
Owner,0,0,2,BHK,1189.885969,1,1,"Pantnagar,Rudrapur",26.351855,86.326143,24.0,49.5785820416667
Dealer,0,1,3,BHK,1139.177811,1,1,"Hoshangabad Road,Bhopal",22.75,77.72,23.0,49.5294700434783
Dealer,0,0,1,BHK,569.3069307,1,1,"Talawali Chanda,Indore",22.66667,75.75,11.5,49.5049504956522
Owner,0,0,1,BHK,484.9084612,1,1,"Ajmer Road,Jaipur",26.928785000000000,75.828002,9.8,49.4804552244898
Owner,0,1,1,BHK,420.5838694,1,1,"Khazoor Gaon,Barabanki",26.955878000000000,81.107692,8.5,49.4804552235294
Dealer,0,1,2,BHK,989.6091044,1,1,"Charoda,Bhilai",21.201983,81.374348,20.0,49.48045522
Owner,0,1,1,BHK,469.83184970000000,1,1,"Keshwana Rajput,Jaipur",27.837137,76.23904300000000,9.5,49.4559841789474
Dealer,0,0,2,BHK,1137.4876360000000,1,1,"Ajairajpura,Jaipur",26.591483,76.110858,23.0,49.455984173913
Owner,0,0,2,BHK,840.3361345000000,1,1,"Queensland Park,Meerut",28.570553000000000,77.345958,17.0,49.4315373235294
Owner,0,0,2,BHK,1285.2199700000000,1,1,"Old Railway Station,Jamnagar",10.778122,79.138539,26.0,49.4315373076923
Dealer,0,0,3,BHK,1235.177866,1,1,"Salaiya,Bhopal",23.150756,77.443534,25.0,49.40711464
Owner,0,1,2,BHK,1032.098765,1,1,"Gotri,Vadodara",22.312358,73.145436,20.9,49.3827160287081
Dealer,0,0,2,BHK,2368.0315740000000,1,1,"Vasco,Goa",22.82281,73.303212,48.0,49.333991125
Owner,0,0,1,BHK,666.0088801000000,1,1,"Dindoli,Surat",21.142359,72.862596,13.5,49.3339911185185
Dealer,0,0,3,BHK,1725.838264,1,1,"NH-8,Dharuhera",12.973237,77.64685900000000,35.0,49.3096646857143
Dealer,0,0,3,BHK,1230.314961,1,1,"Milakpur Goojar,Bhiwadi",28.194910000000000,76.826552,25.0,49.21259844
Owner,0,0,3,BHK,1599.409449,1,1,"Ajmer Road,Jaipur",26.928785000000000,75.828002,32.5,49.2125984307692
Owner,0,0,1,BHK,615.1574803,1,1,"Godadara,Surat",21.168064,72.87714800000000,12.5,49.212598424
Owner,0,0,3,BHK,1500.245942,1,1,"Godhani Road,Nagpur",20.809158,79.278263,30.5,49.1883915409836
Dealer,0,1,4,BHK,2215.1277010000000,1,1,"Sector-4A Bahadurgarh,Bahadurgarh",29.890963,73.870092,45.1,49.1159135476718
Owner,0,0,3,BHK,1301.571709,1,1,"Junwani,Bhilai",21.201983,81.374348,26.5,49.1159135471698
Owner,0,0,2,BHK,1080.0196370000000,1,1,"Moti Vohrwad Main Bazar,Visnagar",23.7,72.55,22.0,49.0918016818182
Dealer,0,0,3,BHK,1620.029455,1,1,"Sector 75 Faridabad,Faridabad",28.365512,77.34630600000000,33.0,49.0918016666667
Dealer,0,0,3,BHK,1325.478645,1,1,"Mansarovar,Jaipur",26.8626,75.7633,27.0,49.0918016666667
Owner,0,0,2,BHK,736.0157017000000,1,1,"Neamatpur,Asansol",23.71384,86.88069,15.0,49.0677134466667
Dealer,1,1,3,BHK,1300.294406,0,1,"Sector 86 Faridabad,Faridabad",28.406388,77.342588,26.5,49.0677134339623
Owner,0,0,1,BHK,490.1960784,1,1,"Tonk Road,Jaipur",26.16667,75.78333,10.0,49.01960784
Dealer,0,0,3,BHK,1909.892262,1,1,"Zirakpur,Panchkula",30.65,76.82,39.0,48.9715964615385
Owner,0,1,2,BHK,685.2667646000000,1,1,"Kalyanpur,Rudrapur",29.296099000000000,78.858737,14.0,48.9476260428571
Dealer,0,0,2,BHK,817.4253549,1,1,"Ankur Vihar,Ghaziabad",28.66667,77.41667,16.7,48.9476260419162
Owner,0,0,2,BHK,856.5834557000000,1,1,"Radha Nagar,Asansol",23.689295,86.937124,17.5,48.94762604
Owner,0,0,2,BHK,876.1625061000000,1,1,"Sullurupeta,Nellore",13.739972,80.00728000000000,17.9,48.9476260391061
Owner,0,0,1,BHK,454.9902153,1,1,"Pilkhuwa,Ghaziabad",28.71197,77.65446,9.3,48.9236790645161
Owner,0,0,1,BHK,684.9315068,1,1,"Dindoli,Surat",21.142359,72.862596,14.0,48.9236790571429
Dealer,0,1,2,BHK,1125.244618,1,1,"Raj Nagar Extension,Ghaziabad",26.900926000000000,75.775927,23.0,48.9236790434783
Dealer,0,0,2,BHK,762.4633431,1,1,"Madhyamgram,Kolkata",22.7,88.45,15.6,48.8758553269231
Owner,0,1,3,BHK,1075.268817,1,1,"Mahawadiya,Bhopal",23.11702,77.39529,22.0,48.8758553181818
Owner,0,0,2,BHK,1221.299463,1,1,"Kamrej,Surat",21.262000000000000,73.0477,25.0,48.85197852
Owner,0,0,2,BHK,1050.317538,1,1,"New Sama Road,Vadodara",22.340396,73.19706,21.5,48.8519785116279
Owner,0,0,1,BHK,635.0757206000000,1,1,"Vaishali Nagar,Indore",22.680741,75.832009,13.0,48.8519785076923
Owner,0,0,1,BHK,635.0757206000000,1,1,"Jati Colony,Indore",22.72056,75.84722,13.0,48.8519785076923
Owner,0,0,2,BHK,1000.0,1,1,"Vinay Nagar,Gwalior",26.225345,78.156295,20.5,48.8
Dealer,0,0,2,BHK,760.9756098000000,1,1,"Madhyamgram,Kolkata",22.7,88.45,15.6,48.7804878076923
Owner,0,0,1,BHK,497.5609756,1,1,"Sonagiri,Bhopal",23.251628,77.47098200000000,10.2,48.7804878039216
Builder,0,1,3,BHK,1307.317073,1,0,"Katara Hills,Bhopal",23.185756,77.498465,26.8,48.7804877985075
Owner,1,1,3,BHK,1316.431009,0,1,"Shivala Bihta Road,Patna",25.5597,84.8712,27.0,48.756704037037
Owner,0,0,3,BHK,1560.2145290000000,1,1,"Delhi Road,Meerut",29.948561000000000,77.546486,32.0,48.75670403125
Dealer,0,0,2,BHK,979.0550414000000,1,1,"Hajipur,Noida",28.538774,77.366515,20.1,48.709206039801
Owner,0,1,3,BHK,1460.564752,1,1,"Jatkhedi,Bhopal",23.169982,77.477889,30.0,48.6854917333333
Owner,0,1,2,BHK,925.0243427000000,1,1,"Ajmer Road,Jaipur",26.928785000000000,75.828002,19.0,48.6854917210526
Dealer,0,0,2,BHK,1022.395326,1,1,"Devarachikkanahalli,Bangalore",12.96991,77.59796,21.0,48.6854917142857
Dealer,0,0,2,BHK,1338.199513,1,1,"Sector-15 Bahadurgarh,Bahadurgarh",30.752321000000000,76.772816,27.5,48.6618004727273
Owner,0,0,1,BHK,535.0194553,1,1,"Chiplun,Ratnagiri",17.524875,73.520142,11.0,48.6381323
Owner,0,0,2,BHK,1069.518717,1,1,"Kamptee Road,Nagpur",21.216111000000000,79.19875,22.0,48.6144871363636
Dealer,1,1,2,BHK,996.5969859000000,0,1,"Sector 78 Faridabad,Faridabad",28.380160000000000,77.369936,20.5,48.6144871170732
Dealer,0,0,2,BHK,1263.9766650000000,1,1,"Kundli,Sonipat",28.874383,77.113251,26.0,48.6144871153846
Dealer,0,0,3,BHK,1750.1215360000000,1,1,"Kundli,Sonipat",28.874383,77.113251,36.0,48.6144871111111
Owner,0,1,3,BHK,1579.970831,1,1,"Bapod,Vadodara",22.304805000000000,73.23414,32.5,48.6144871076923
Owner,0,0,3,BHK,3401.3605440000000,1,1,"Bhularai Near Vill Patrol Pump,Phagwara",31.247207,75.786059,70.0,48.5908649142857
Owner,0,0,2,BHK,680.2721088,1,1,"Improvemnt Trust Colony, Tibri Road,Gurdaspur",32.029726000000000,75.388008,14.0,48.5908649142857
Owner,1,0,1,BHK,680.2721088,0,1,"Betegaon,Palghar",19.7833,72.7833,14.0,48.5908649142857
Owner,1,0,1,BHK,340.1360544,0,1,"Crossing Republik,Ghaziabad",28.629811,77.434197,7.0,48.5908649142857
Owner,0,0,1,BHK,344.6601942,1,1,"Gangashahar,Bikaner",27.989682000000000,73.298004,7.1,48.5436893239437
Owner,0,0,2,BHK,1650.4854370000000,1,1,"Adajan,Surat",24.395822,78.989627,34.0,48.5436893235294
Dealer,0,0,2,BHK,820.3883495,1,1,"Guru Teg Bahadur Nagar,Mohali",30.75501,76.64051500000000,16.9,48.5436893195266
Owner,0,0,1,BHK,349.51456310000000,1,1,"Adajan,Surat",24.395822,78.989627,7.2,48.5436893194444
Owner,0,0,1,BHK,655.0218341,1,1,"Lunsikui,Navsari",20.942355,72.940376,13.5,48.5201358592593
Dealer,0,1,2,BHK,819.990296,1,1,"Kharar,Mohali",30.74,76.65,16.9,48.5201358579882
Owner,0,1,2,BHK,849.1023775,1,1,"Khajuri Kalan,Bhopal",23.234244,77.507284,17.5,48.5201358571429
Dealer,0,0,2,BHK,819.5926285,1,1,"Ankur Vihar,Ghaziabad",28.66667,77.41667,16.9,48.4966052366864
Dealer,0,0,2,BHK,800.1939864,1,1,"Jhotwara,Jaipur",26.955346000000000,75.73479300000000,16.5,48.4966052363636
Owner,0,1,2,BHK,1119.728551,1,1,"Dindoli,Surat",21.142359,72.862596,23.1,48.4730974458874
Owner,0,0,1,BHK,412.02132820000000,1,1,"Khodiyar Nagar,Vapi",20.379289,72.932048,8.5,48.4730974352941
Owner,0,0,2,BHK,630.1502666,1,1,"Pawanpuri,Jaipur",26.91667,75.86667,13.0,48.4730974307692
Owner,0,1,2,BHK,1260.300533,1,1,"Karamsad,Anand",22.55,72.9,26.0,48.4730974230769
Dealer,0,0,2,BHK,1066.4081430000000,1,1,"Bhayli,Vadodara",22.288976,73.128222,22.0,48.4730974090909
Dealer,0,0,2,BHK,1065.375303,1,1,"Talawali Chanda,Indore",22.66667,75.75,22.0,48.4261501363636
Owner,0,0,2,BHK,750.2420136,1,1,"Ajmer Road,Jaipur",26.928785000000000,75.828002,15.5,48.4027105548387
Owner,0,0,3,BHK,1500.484027,1,1,"Bhayli,Vadodara",22.288976,73.128222,31.0,48.4027105483871
Owner,0,0,3,BHK,1350.435624,1,1,"Guru Teg Bahadur Nagar,Mohali",30.75501,76.64051500000000,27.9,48.4027105376344
Dealer,0,0,2,BHK,1209.482342,1,1,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,25.0,48.37929368
Dealer,0,0,3,BHK,1449.975834,1,1,"Jagatpura,Jaipur",26.832353,75.841749,30.0,48.3325278
Dealer,0,0,3,BHK,1097.148381,1,1,"Ajmer Road,Jaipur",26.928785000000000,75.828002,22.7,48.3325277973568
Owner,0,0,3,BHK,1764.137264,1,1,"Mango,Jamshedpur",22.835481,86.221099,36.5,48.3325277808219
Owner,0,0,1,BHK,637.6811594,1,1,"Shirgaon,Raigad",18.4932,72.9679,13.2,48.3091787424242
Dealer,0,0,2,BHK,1250.0,1,1,"Sunny Enclave,Mohali",30.664299,76.817624,25.9,48.3
Dealer,0,0,2,BHK,1250.0,1,1,"Sector-125 Mohali,Mohali",30.751176,76.668359,25.9,48.3
Owner,0,0,2,BHK,1110.574602,1,1,"Thara,Bhiwadi",28.162032,76.811066,23.0,48.2858522608696
Dealer,0,0,2,BHK,700.1448576,1,1,"Dadi Ka Phatak,Jaipur",26.968933000000000,75.755339,14.5,48.2858522482759
Dealer,0,1,2,BHK,1207.146306,1,1,"Sector - 23 Dharuhera,Dharuhera",28.22,76.78,25.0,48.28585224
Owner,0,0,1,BHK,675.6756757,1,1,"Sikar Road,Jaipur",27.61194,75.13972,14.0,48.2625482642857
Owner,0,0,2,BHK,1110.03861,1,1,"Kalwar Road,Jaipur",26.9883,75.5846,23.0,48.2625482608696
Dealer,0,0,2,BHK,1104.679209,1,1,"Sector-115 Mohali,Mohali",30.712867,76.648557,22.9,48.239266768559
Owner,0,0,2,BHK,964.7853353,1,1,"Tapukara,Bhiwadi",28.2102,76.8606,20.0,48.239266765
Dealer,1,0,3,BHK,1471.297636,0,1,"Ajmer Road,Jaipur",26.928785000000000,75.828002,30.5,48.2392667540984
Dealer,0,0,3,BHK,1230.101302,1,1,"Milakpur Goojar,Bhiwadi",28.194910000000000,76.826552,25.5,48.239266745098
Owner,0,0,5,BHK,2700.096432,1,1,"Banjari,Bhopal",22.590732,76.63529100000000,56.0,48.2160077142857
Owner,0,0,2,BHK,675.024108,1,1,"Kadabagere,Bangalore",12.994801000000000,77.435602,14.0,48.2160077142857
Owner,0,1,2,BHK,819.6721311000000,1,1,"Bhatagaon,Raipur",21.152442,81.090184,17.0,48.2160077117647
Owner,0,0,2,BHK,1060.240964,1,1,"Zirakpur,Chandigarh",30.662283000000000,76.822397,22.0,48.1927710909091
Owner,0,0,2,BHK,1300.578035,1,1,"Karamsad,Anand",22.55,72.9,27.0,48.1695568518519
Owner,0,0,2,BHK,890.2791145,1,1,"Bidhannagar,Durgapur",22.58,88.42,18.5,48.1231953783784
Dealer,0,1,3,BHK,1539.942252,1,1,"Sector - 1 Dharuhera,Dharuhera",28.211607,76.787033,32.0,48.123195375
Dealer,1,0,2,BHK,726.3107263000000,0,1,"New Barrakpur,Kolkata",22.680731,88.442807,15.1,48.1000480993377
Dealer,0,0,2,BHK,740.7407407000000,1,1,"Barasat,Kolkata",22.747639000000000,88.600902,15.4,48.1000480974026
Dealer,0,0,3,BHK,1539.2015390000000,1,1,"Ajmer Road,Jaipur",26.928785000000000,75.828002,32.0,48.10004809375
Owner,0,0,3,BHK,2500.0,1,1,"Vasna-Bhayli-Road,Vadodara",22.288976,73.128222,52.0,48.1
Owner,0,0,3,BHK,1250.0,1,1,"Apna Ghar Shalimar,Alwar",27.562460000000000,76.625,26.0,48.1
Owner,0,1,3,BHK,1250.0,1,1,"Telco Circle,Alwar",27.562460000000000,76.625,26.0,48.1
Owner,0,0,2,BHK,1250.0,1,1,"Karamsad,Anand",22.55,72.9,26.0,48.1
Owner,0,0,2,BHK,769.2307692,1,1,"E3-108, Lake View Recidency,,Vapi",39.945409000000000,-86.15072100000000,16.0,48.076923075
Dealer,0,0,2,BHK,1099.903939,1,1,"Kharar-Landran Road,Mohali",30.74,76.65,22.9,48.0307396943231
Owner,0,0,2,BHK,1008.645533,1,1,"Abrama,Valsad",20.600601,72.953228,21.0,48.0307396666667
Owner,1,0,2,BHK,12001.92031,0,1,"Perundurai,Erode",11.27,77.58,250.0,48.00768124
Owner,0,0,3,BHK,1200.192031,1,1,"Katara Hills,Bhopal",23.185756,77.498465,25.0,48.00768124
Owner,0,0,2,BHK,1200.192031,1,1,"Panchavati,Jamnagar",23.118635,70.022051,25.0,48.00768124
Owner,0,0,2,BHK,1200.192031,1,1,"Jagatpura,Jaipur",26.832353,75.841749,25.0,48.00768124
Owner,0,0,2,BHK,1200.192031,1,1,"Gomti Nagar Extension,Lucknow",21.0,77.0,25.0,48.00768124
Owner,0,0,2,BHK,1200.192031,1,1,"Umbergaon,Valsad",20.167837,72.77484,25.0,48.00768124
Dealer,0,0,2,BHK,1200.192031,1,1,"Kolar Near D Mart Main Road,Bhopal",19.213085,72.84195,25.0,48.00768124
Owner,0,0,2,BHK,1200.192031,1,1,"Subhanpura,Vadodara",22.318485,73.162544,25.0,48.00768124
Owner,0,0,2,BHK,1200.192031,1,1,"Alwar Bhiwadi Road,Bhiwadi",28.21,76.87,25.0,48.00768124
Owner,0,0,1,BHK,600.0960154,1,1,"Sagrampura,Surat",21.183418,72.82351,12.5,48.007681232
Owner,0,0,3,BHK,1920.3072490000000,1,1,"Vasna-Bhayli-Road,Vadodara",22.288976,73.128222,40.0,48.007681225
Owner,0,0,2,BHK,2400.3840610000000,1,1,"Tiruchanur,Tirupati",13.603543,79.460402,50.0,48.00768122
Dealer,1,1,3,BHK,1536.245799,0,0,"Vasna-Bhayli-Road,Vadodara",22.288976,73.128222,32.0,48.00768121875
Owner,0,0,1,BHK,2399.232246,1,1,"Chiplun,Ratnagiri",17.524875,73.520142,50.0,47.98464492
Owner,0,0,2,BHK,1199.616123,1,1,"Ganga Nagar,Meerut",29.005329000000000,77.75563200000000,25.0,47.98464492
Dealer,0,0,2,BHK,1199.616123,1,1,"Karamsad,Anand",22.55,72.9,25.0,47.98464492
Owner,0,0,2,BHK,1198.465964,1,1,"Sikar Road,Jaipur",27.61194,75.13972,25.0,47.93863856
Owner,0,0,2,BHK,1150.527325,1,1,"Dewas Naka(Panchvati),Indore",22.782781,75.899435,24.0,47.9386385416667
Owner,0,0,1,BHK,575.2636625,1,1,"Vaibhav Nagar Extension,Indore",22.720782,75.918987,12.0,47.9386385416667
Owner,0,0,2,BHK,1485.385721,1,1,"Muhana,Jaipur",59.912884,10.741975,31.0,47.9156684193548
Dealer,0,1,1,BHK,747.1264368,1,1,"Sector - 1 Dharuhera,Dharuhera",28.211607,76.787033,15.6,47.8927203076923
Dealer,0,0,2,BHK,1264.367816,1,1,"Kundli,Sonipat",28.874383,77.113251,26.4,47.8927203030303
